coach_id,coach_name,sport_name
1,BOUCHARD Eric,Ice Hockey
2,CERNOVSKY Vladimir,Curling
3,CHARETTE Pierre,Curling
4,COOPER Jon,Ice Hockey
5,de CRUZ Peter,Curling
6,FISCHER Patrick,Ice Hockey
7,FRY Ryan,Curling
8,FUNAYAMA Yumie,Curling
9,GATH Mikael,Ice Hockey
10,GOODFELLOW Michael,Curling
11,GRAN Soeren,Curling
12,GRANDY Clancy,Curling
13,HALLAM Sam,Ice Hockey
14,HELDIN LINDSTROM Kristian,Curling
15,HEMMINGS Guy,Curling
16,IIZUKA Yuji,Ice Hockey
17,JALONEN Jukka,Ice Hockey
18,KREIS Harold,Ice Hockey
19,LANGE Joachim,Curling
20,LEHTERA Tero,Ice Hockey
21,LINDSTROM Alexander,Curling
22,LOEVOLD Thomas,Curling
23,LUNDBERG Ulf,Ice Hockey
24,MACLEOD Carla Rae,Ice Hockey
25,MACLEOD Jeff,Ice Hockey
26,MOULTON Jordan,Curling
27,MULLER Colin,Ice Hockey
28,ORSZAGH Vladimir,Ice Hockey
29,OVERTON CLAPHAM Cathy,Curling
30,PATERSON Ross,Curling
31,PENNANEN Antti,Ice Hockey
32,PETERS Laine,Curling
33,PETERSSON Havard Vad,Curling
34,PRYTZ Andreas,Curling
35,RAJALA Howard,Curling
36,RULIK Radim,Ice Hockey
37,RYAN Troy,Ice Hockey
38,SAVILL Craig,Curling
39,SCHMIDT Ulrik,Curling
40,SHERRARD Ryan,Curling
41,SONNENBERG Renee,Curling
42,SULLIVAN Mike,Ice Hockey
43,TAN Weidong,Curling
44,TARLE Gregory,Ice Hockey
45,TREILLE Yorick,Ice Hockey
46,VITOLINS Harijs,Ice Hockey
47,WALSTAD Steffen,Curling
48,WEBSTER Paul,Curling
49,WROBLEWSKI John,Ice Hockey
50,ZANG Jialiang,Curling
